code,name,score,sector,roa_current,operating_margin_current,asset_turnover_current,debt_ratio_current,roa_current_beats_sector,operating_margin_current_beats_sector,asset_turnover_current_beats_sector,debt_ratio_current_beats_sector,sector_relative_strength,adjusted_score,net_income_positive,roa_increasing,roa_previous,debt_ratio_decreasing,debt_ratio_previous,shares_not_increasing,shares_current,shares_previous,operating_margin_increasing,operating_margin_previous,asset_turnover_increasing,asset_turnover_previous
007610,선도전기,4,UNKNOWN,11.33,-23.75,0.28,63.82,True,False,False,False,0.25,4.25,True,True,-17.98,True,75.19,True,18000.0,18000.0,False,-17.31,False,0.45
019540,일지테크,4,UNKNOWN,3.91,3.22,1.32,73.88,False,False,True,False,0.25,4.25,True,False,6.12,True,76.76,True,13514.0,13514.0,False,5.63,True,1.19
007340,DN오토모티브,4,UNKNOWN,6.36,15.22,0.69,56.64,False,True,False,False,0.25,4.25,True,True,6.2,True,69.47,False,59066.0,49970.0,True,15.0,False,0.72
277880,티에스아이,4,UNKNOWN,8.0,5.74,0.74,65.75,False,False,False,False,0.0,4.0,True,True,-1.43,True,71.64,False,20161.0,20156.0,True,0.77,False,0.76
046310,백금T&A,3,UNKNOWN,13.37,8.33,1.15,25.3,True,True,True,True,1.0,4.0,True,False,13.42,True,29.65,True,16419.0,16419.0,False,10.02,False,1.23
038010,제일테크노스,3,UNKNOWN,11.83,11.26,1.04,25.24,True,True,True,True,1.0,4.0,True,False,13.3,True,41.79,True,9000.0,9000.0,False,14.49,False,1.24
033100,제룡전기,3,UNKNOWN,33.04,37.23,1.09,18.65,True,True,True,True,1.0,4.0,True,False,35.54,True,21.36,True,16062.0,16062.0,False,38.17,False,1.16
035610,솔본,3,UNKNOWN,17.22,22.4,0.35,16.14,True,True,False,True,0.75,3.75,True,False,17.73,True,16.28,True,27346.0,27346.0,False,27.21,False,0.43
244880,나눔테크,3,UNKNOWN,11.63,17.39,0.62,7.36,True,True,False,True,0.75,3.75,True,False,15.61,True,10.97,True,5020.0,5020.0,False,22.73,False,0.74
052300,오션인더블유,3,UNKNOWN,45.39,-48.53,0.02,22.6,True,False,False,True,0.5,3.5,True,True,-19.58,True,23.78,False,16865.0,11865.0,False,-5.88,False,0.02
